Year,Glob,NHem,SHem,N. Extratropics,Tropics,S. Extratropics,Arctic,N. Temperate,N. Subtropics,N. Tropics,S. Tropics,S. Subtropics,S. Temperate,Antarctic
1973,0.16,0.09,0.23,0.1,0.19,0.18,0.06,0.27,0.01,0.08,0.3,0.21,0.08,0.35
1974,-0.07,-0.18,0.03,-0.14,-0.2,0.18,-0.19,-0.07,-0.18,-0.23,-0.17,0.21,-0.08,0.66
1975,-0.01,-0.05,0.02,0.12,-0.24,0.16,0.1,0.39,-0.05,-0.31,-0.17,0.13,0.14,0.31
1976,-0.1,-0.21,0.01,-0.26,-0.11,0.09,-0.08,-0.32,-0.28,-0.13,-0.1,0.1,0.22,-0.22
1977,0.18,0.12,0.24,0.13,0.16,0.25,0.16,0.24,0.06,0.1,0.22,0.21,0.31,0.28
1978,0.07,0.02,0.11,-0.03,0.08,0.15,-0.16,0.04,-0.04,0.1,0.05,0.2,0.13,0.03
1979,0.16,0.08,0.25,-0.03,0.26,0.23,-0.61,0.07,0.08,0.26,0.27,0.29,0.33,-0.21
1980,0.26,0.17,0.34,0.06,0.31,0.38,0.25,0.02,0.02,0.33,0.29,0.35,0.37,0.57
1981,0.32,0.37,0.27,0.48,0.18,0.36,1.09,0.79,0.08,0.22,0.14,0.28,0.39,0.62
1982,0.14,0.05,0.23,-0.08,0.27,0.18,-0.4,0.09,-0.09,0.25,0.29,0.18,0.32,-0.11
1983,0.31,0.25,0.38,0.22,0.43,0.25,0.18,0.69,-0.07,0.29,0.57,0.21,0.41,0.1
1984,0.16,0.04,0.27,0.01,0.18,0.26,0.36,0.08,-0.14,0.07,0.29,0.16,0.32,0.54
1985,0.12,0.0,0.24,-0.03,0.09,0.31,0.39,-0.26,-0.02,0.04,0.13,0.3,0.44,0.07
1986,0.18,0.13,0.23,0.1,0.22,0.2,0.0,0.28,0.03,0.18,0.27,0.25,0.25,-0.09
1987,0.32,0.25,0.4,0.04,0.58,0.25,-0.36,0.13,0.12,0.55,0.62,0.32,0.25,0.01
1988,0.39,0.37,0.41,0.4,0.37,0.4,0.59,0.57,0.24,0.32,0.42,0.38,0.2,0.93
1989,0.27,0.27,0.28,0.4,0.13,0.34,0.32,0.69,0.25,0.07,0.19,0.36,0.3,0.41
1990,0.45,0.53,0.37,0.63,0.37,0.37,0.58,0.88,0.49,0.38,0.36,0.37,0.37,0.37
1991,0.41,0.41,0.4,0.47,0.37,0.4,0.75,0.66,0.26,0.33,0.41,0.31,0.29,0.98
1992,0.22,0.14,0.31,0.09,0.29,0.27,-0.17,0.44,-0.03,0.2,0.37,0.2,0.33,0.41
1993,0.23,0.19,0.28,0.13,0.32,0.22,0.54,0.29,-0.11,0.29,0.36,0.27,0.39,-0.28
1994,0.32,0.37,0.26,0.43,0.31,0.21,0.34,0.5,0.42,0.28,0.34,0.26,0.23,-0.02
1995,0.45,0.58,0.32,0.7,0.42,0.22,1.31,0.98,0.32,0.4,0.44,0.29,0.15,0.16
1996,0.33,0.26,0.4,0.23,0.32,0.45,0.76,0.17,0.1,0.31,0.32,0.33,0.28,1.32
1997,0.47,0.52,0.42,0.53,0.51,0.34,0.76,0.9,0.23,0.5,0.52,0.42,0.36,0.04
1998,0.61,0.71,0.51,0.78,0.69,0.32,0.86,0.94,0.66,0.6,0.79,0.39,0.31,0.14
1999,0.38,0.48,0.28,0.7,0.2,0.3,0.4,0.8,0.74,0.16,0.25,0.46,0.19,0.02
2000,0.39,0.5,0.29,0.7,0.24,0.29,0.97,0.8,0.55,0.21,0.28,0.42,0.1,0.27
2001,0.53,0.64,0.43,0.8,0.42,0.42,1.06,0.86,0.68,0.4,0.44,0.58,0.24,0.25
2002,0.63,0.71,0.55,0.83,0.6,0.48,1.25,1.0,0.58,0.55,0.64,0.5,0.31,0.79
2003,0.62,0.75,0.49,0.84,0.64,0.36,1.5,0.98,0.54,0.61,0.67,0.44,0.24,0.37
2004,0.53,0.66,0.41,0.73,0.55,0.32,0.46,0.95,0.66,0.56,0.54,0.48,0.23,-0.04
2005,0.68,0.86,0.5,1.01,0.62,0.42,1.99,1.22,0.57,0.62,0.62,0.49,0.18,0.68
2006,0.64,0.82,0.46,0.99,0.56,0.4,1.76,1.06,0.7,0.57,0.55,0.51,0.19,0.45
2007,0.67,0.85,0.48,1.12,0.46,0.48,2.08,1.32,0.69,0.45,0.48,0.5,0.07,1.28
2008,0.54,0.68,0.41,0.91,0.38,0.4,1.53,1.07,0.61,0.33,0.42,0.53,0.08,0.64
2009,0.66,0.72,0.59,0.78,0.68,0.51,1.42,0.6,0.68,0.65,0.71,0.6,0.15,0.99
2010,0.73,0.9,0.55,1.03,0.68,0.48,2.24,0.87,0.74,0.72,0.65,0.63,0.2,0.54
2011,0.61,0.74,0.47,0.98,0.37,0.56,2.32,0.94,0.58,0.39,0.35,0.64,0.19,1.1
2012,0.65,0.8,0.49,1.03,0.52,0.43,2.13,0.93,0.74,0.48,0.57,0.56,0.2,0.46
2013,0.68,0.8,0.56,0.94,0.58,0.54,1.53,1.04,0.69,0.58,0.58,0.63,0.23,0.88
2014,0.75,0.92,0.58,1.08,0.67,0.53,2.05,1.14,0.73,0.69,0.65,0.72,0.19,0.56
2015,0.9,1.18,0.63,1.32,0.96,0.4,2.02,1.48,0.99,0.98,0.94,0.75,0.2,-0.34
2016,1.01,1.31,0.73,1.54,1.01,0.49,3.25,1.43,1.07,0.96,1.06,0.67,0.28,0.37
2017,0.92,1.17,0.67,1.38,0.81,0.6,2.5,1.38,1.03,0.86,0.76,0.76,0.38,0.52
2018,0.85,1.04,0.66,1.25,0.68,0.69,2.16,1.09,1.06,0.74,0.62,0.79,0.41,0.91
2019,0.98,1.22,0.75,1.43,0.9,0.64,2.77,1.43,1.0,0.91,0.89,0.74,0.41,0.8
2020,1.01,1.34,0.67,1.66,0.85,0.57,2.86,1.8,1.19,0.88,0.82,0.59,0.4,0.85
2021,0.85,1.14,0.55,1.43,0.65,0.53,2.07,1.36,1.27,0.72,0.58,0.73,0.33,0.3
2022,0.9,1.16,0.62,1.52,0.57,0.71,2.35,1.5,1.27,0.63,0.5,0.79,0.41,1.08
2023,1.17,1.5,0.86,1.78,1.06,0.72,2.57,1.86,1.47,1.08,1.04,0.9,0.46,0.62
2024,1.28,1.65,0.91,1.95,1.19,0.74,2.9,1.95,1.65,1.22,1.16,0.88,0.54,0.68
2025,1.19,1.49,0.89,1.92,0.85,0.92,3.0,1.99,1.53,0.85,0.85,0.97,0.55,1.57
