year,population,gdp,co2,co2_per_capita,co2_including_luc,cumulative_co2,coal_co2,oil_co2,gas_co2,energy_per_capita,primary_energy_consumption,total_ghg,methane,nitrous_oxide,temperature_change_from_co2,temperature_change_from_ghg
1951,2536927034.0,,6381.651,2.516,13578.992,238271.75,4084.146,1720.176,416.186,,,18150.432,3723.34,1018.664,0.303,0.421
1952,2584086340.0,,6467.7,2.503,13718.915,244739.453,4030.056,1819.094,447.086,,,18382.768,3800.598,1036.231,0.309,0.43
1953,2634106241.0,,6651.039,2.525,14034.659,251390.484,4061.101,1938.059,474.53,,,18800.711,3889.637,1054.886,0.315,0.439
1954,2685894857.0,,6789.734,2.528,14596.57,258180.234,4053.676,2054.232,501.356,,,19481.365,3988.856,1074.734,0.322,0.449
1955,2740213796.0,,7444.103,2.717,15438.17,265624.344,4386.083,2299.538,547.242,,,20510.934,4180.018,1095.884,0.328,0.46
1956,2795409991.0,,7926.275,2.835,15986.904,273550.594,4608.297,2499.033,587.242,,,21197.357,4309.005,1118.44,0.336,0.471
1957,2852618331.0,,8185.976,2.87,16466.127,281736.562,4691.583,2612.05,646.687,,,21805.078,4435.85,1142.511,0.343,0.482
1958,2911249671.0,,8417.517,2.891,16629.943,290154.094,4761.458,2719.235,705.853,,,22099.877,4525.489,1168.204,0.35,0.493
1959,2965950350.0,,8855.112,2.986,17547.879,299009.219,4953.932,2897.693,758.26,,,23239.465,4725.665,1195.624,0.358,0.506
1960,3015470889.0,13338076573731.0,9386.951,3.113,16997.52,308396.156,5158.323,3119.97,834.618,,,22832.379,4861.831,1224.879,0.366,0.518
1961,3064869675.0,,9414.99,3.072,17045.148,317811.156,4944.186,3309.097,882.126,,,22968.943,4904.216,1296.961,0.373,0.53
1962,3123374312.0,,9747.241,3.121,16885.641,327558.406,4928.587,3558.261,967.82,,,22922.6,4981.43,1341.992,0.381,0.542
1963,3192807826.0,,10266.777,3.216,17220.107,337825.156,5107.931,3803.658,1046.95,,,23411.465,5105.29,1386.239,0.388,0.555
1964,3264487343.0,,10824.47,3.316,17484.389,348649.656,5213.215,4104.341,1152.992,,,23798.047,5205.581,1436.231,0.396,0.567
1965,3334533710.0,,11310.603,3.392,17696.027,359960.25,5289.088,4409.442,1230.667,13003.41,43360.309,24194.01,5343.486,1493.052,0.404,0.581
1966,3404041131.0,,11862.625,3.485,17779.766,371822.875,5349.978,4758.873,1339.98,13434.752,45732.449,24516.84,5545.599,1556.812,0.412,0.594
1967,3473412877.0,,12237.371,3.523,18487.898,384060.219,5261.868,5074.54,1433.099,13649.56,47410.555,25319.172,5608.186,1613.397,0.42,0.608
1968,3545187246.0,,12905.273,3.64,19232.404,396965.5,5319.659,5528.198,1559.751,14173.228,50246.746,26188.367,5702.289,1665.257,0.428,0.622
1969,3619491581.0,,13761.798,3.802,20702.344,410727.312,5518.273,5978.462,1708.72,14836.449,53700.402,27861.912,5885.07,1704.999,0.437,0.637
1970,3694683794.0,21941934246399.0,14899.139,4.033,21588.809,425626.469,5698.858,6799.016,1790.936,15475.645,57177.613,28904.395,6036.888,1731.281,0.447,0.653
1971,3769847867.0,,15503.862,4.113,21643.262,441130.312,5700.055,7201.027,1933.588,15766.833,59438.562,28942.801,6056.77,1719.66,0.456,0.668
1972,3844917684.0,,16224.579,4.22,22662.668,457354.906,5691.283,7764.705,2052.349,16308.279,62703.992,30118.918,6183.963,1780.741,0.466,0.684
1973,3920805041.0,,17077.285,4.356,23331.549,474432.188,5860.898,8219.69,2202.723,16919.395,66337.648,30973.744,6345.583,1838.919,0.477,0.701
1974,3996416100.0,,16997.912,4.253,23310.912,491430.094,5857.693,8099.29,2256.541,16689.08,66696.508,31021.443,6363.316,1852.229,0.487,0.718
1975,4070735279.0,,16988.477,4.173,23111.973,508418.562,6018.315,8005.122,2241.266,16497.584,67157.297,31003.484,6448.271,1906.747,0.497,0.734
1976,4144246382.0,,17862.492,4.31,23922.773,526281.062,6226.34,8475.642,2359.009,17070.598,70744.766,31968.012,6544.579,1955.474,0.508,0.75
1977,4217863796.0,,18358.039,4.352,24978.129,544639.062,6375.023,8767.405,2411.72,17379.928,73306.172,33141.996,6627.559,2001.852,0.519,0.767
1978,4292097499.0,,19024.742,4.433,25588.641,563663.875,6510.128,9133.723,2541.737,17748.674,76179.039,33813.844,6657.352,2040.121,0.53,0.784
1979,4368539520.0,,19508.59,4.466,25364.418,583172.438,6799.882,9224.317,2668.065,18014.863,78698.641,33813.141,6825.825,2098.113,0.541,0.801
1980,4447606240.0,31982615792285.0,19409.793,4.364,25411.107,602582.25,6984.99,8912.474,2741.514,17539.898,78010.562,33850.023,6785.667,2117.527,0.552,0.818
1981,4528777306.0,,18879.756,4.169,24716.338,621461.938,6942.941,8483.404,2763.373,17146.965,77654.789,32964.98,6610.78,2069.155,0.563,0.834
1982,4612673415.0,,18729.742,4.06,24261.297,640191.688,7066.997,8276.258,2701.499,16753.32,77277.594,32682.762,6683.251,2127.098,0.574,0.85
1983,4697327573.0,,18901.775,4.024,24741.631,659093.5,7269.239,8214.693,2743.12,16732.732,78599.125,33217.363,6684.616,2165.249,0.585,0.866
1984,4782175518.0,,19457.25,4.069,25882.049,678550.75,7586.115,8238.706,2972.027,17174.082,82129.477,34452.648,6767.443,2177.692,0.597,0.882
1985,4868943457.0,,20144.863,4.137,26932.607,698695.625,8144.824,8247.613,3089.7,17320.572,84332.883,35584.656,6857.225,2176.914,0.609,0.899
1986,4958072839.0,,20438.045,4.122,27381.361,719133.688,8261.466,8490.594,3014.606,17385.945,86200.781,36097.883,6942.08,2184.726,0.621,0.915
1987,5049746390.0,,21106.189,4.18,27604.137,740239.875,8549.229,8579.333,3281.567,17688.301,89321.43,36294.992,7003.95,2231.983,0.633,0.932
1988,5141992540.0,,21918.756,4.263,28075.438,762158.562,8836.429,8889.34,3435.978,18021.527,92666.555,36855.246,7115.852,2229.207,0.645,0.949
1989,5234431736.0,,22200.213,4.241,28181.033,784358.812,8827.798,9037.386,3604.958,18044.754,94454.031,37119.141,7274.316,2249.944,0.658,0.966
1990,5327803106.0,43033605109062.0,22732.145,4.267,28561.215,807091.0,8659.787,9196.439,3790.182,17991.711,95856.289,37574.773,7320.985,2266.202,0.67,0.983
1991,5418735886.0,,23205.592,4.282,28925.889,830296.562,8574.09,9656.487,3851.52,17811.609,96516.406,37889.742,7265.909,2263.283,0.683,1.0
1992,5505989815.0,,22520.424,4.09,28488.322,852816.938,8361.174,9154.655,3901.366,17636.227,97104.883,37455.109,7268.79,2271.714,0.696,1.017
1993,5591544802.0,,22749.873,4.069,28483.164,875566.875,8470.028,9172.321,4007.804,17507.65,97894.812,37427.73,7261.674,2256.92,0.708,1.033
1994,5675551258.0,,22974.598,4.048,29643.506,898541.438,8513.747,9196.235,4040.174,17467.422,99137.25,38666.152,7336.296,2286.923,0.721,1.05
1995,5758878977.0,,23516.639,4.084,29794.719,922058.125,8758.441,9283.901,4196.848,17592.896,101315.359,38933.977,7426.246,2342.963,0.734,1.067
1996,5842055730.0,,24233.477,4.148,30775.305,946291.562,8976.964,9562.137,4381.599,17844.033,104245.836,39997.945,7512.808,2393.537,0.748,1.084
1997,5924787819.0,,24380.322,4.115,32399.938,970671.938,8927.3,9702.211,4395.058,17767.602,105269.266,41519.98,7485.23,2350.142,0.762,1.102
1998,6007066691.0,,24295.713,4.045,31087.949,994967.625,8689.001,9821.975,4443.504,17621.312,105852.398,40128.703,7419.233,2378.566,0.776,1.119
1999,6089006328.0,,24837.771,4.079,31399.629,1019805.375,8809.093,10064.188,4586.166,17673.488,107613.984,40450.992,7436.038,2398.701,0.79,1.136
2000,6171702992.0,59897670914608.0,25511.482,4.134,31657.244,1045316.812,9156.638,10211.624,4727.823,17890.75,110416.398,40795.379,7544.741,2390.251,0.804,1.154
2001,6254936464.0,,25692.994,4.108,31153.697,1071009.875,9208.429,10283.57,4771.715,17824.848,111493.289,40260.363,7523.762,2385.423,0.817,1.171
2002,6337730343.0,,26265.332,4.144,32359.027,1097275.125,9630.182,10269.353,4913.652,17970.854,113894.43,41423.414,7480.677,2402.932,0.831,1.189
2003,6420361633.0,,27652.691,4.307,34973.902,1124927.875,10466.565,10540.85,5096.196,18355.602,117849.602,44206.871,7668.747,2419.463,0.847,1.208
2004,6503377774.0,,28610.023,4.399,35053.887,1153537.875,10813.392,10924.574,5257.67,19042.68,123841.742,44421.227,7809.036,2487.873,0.862,1.228
2005,6586970132.0,,29598.951,4.494,35530.062,1183136.875,11498.5,11030.305,5376.289,19422.695,127936.719,45006.918,7929.648,2510.292,0.878,1.248
2006,6671452019.0,,30594.152,4.586,36627.895,1213731.0,12136.238,11142.928,5531.006,19708.033,131481.203,46217.527,8057.693,2546.306,0.894,1.268
2007,6757308776.0,,31499.256,4.662,37092.461,1245230.25,12724.451,11184.312,5736.637,20069.822,135617.984,46734.879,8108.338,2612.956,0.91,1.288
2008,6844457659.0,,32049.66,4.683,38000.68,1277279.875,13149.669,11143.34,5905.5,20049.713,137229.406,47666.078,8177.437,2582.949,0.927,1.309
2009,6932766416.0,,31513.014,4.546,38047.828,1308793.0,13003.172,10899.597,5765.684,19477.537,135033.219,47682.02,8124.256,2552.738,0.943,1.33
2010,7021732143.0,89807710403740.0,33317.672,4.745,39835.5,1342110.5,13918.224,11253.694,6205.78,20166.256,141602.047,49602.09,8257.109,2617.387,0.961,1.351
2011,7110923773.0,,34479.988,4.849,40872.547,1376590.625,14704.223,11310.148,6389.33,20378.969,144913.297,50934.176,8498.255,2703.093,0.979,1.374
2012,7201202478.0,,34954.734,4.854,41636.855,1411545.25,14867.802,11432.716,6523.143,20413.594,147002.422,51787.148,8568.392,2717.485,0.997,1.397
2013,7291793585.0,,35275.82,4.838,41595.344,1446821.125,14953.153,11516.626,6573.116,20516.178,149599.734,51689.281,8520.598,2700.372,1.015,1.42
2014,7381616239.0,,35465.695,4.805,41875.609,1482286.875,15014.883,11561.832,6604.976,20488.625,151239.172,52086.367,8601.788,2733.968,1.033,1.443
2015,7470491876.0,106871829405667.0,35403.527,4.739,41916.152,1517690.375,14655.017,11770.022,6728.989,20394.59,152357.625,52119.312,8616.349,2741.356,1.052,1.466
2016,7558554527.0,110407200853028.0,35392.832,4.682,40769.383,1553083.125,14322.989,11900.264,6914.85,20403.568,154221.484,51013.094,8652.835,2759.229,1.07,1.488
2017,7645617952.0,114529588369027.0,35974.609,4.705,41282.379,1589057.75,14494.168,12085.292,7084.615,20616.426,157625.312,51702.664,8797.017,2814.724,1.088,1.511
2018,7729902779.0,118765812557841.0,36734.004,4.752,41616.027,1625791.75,14762.694,12142.828,7419.413,20932.492,161806.125,52139.289,8935.43,2814.039,1.106,1.534
2019,7811293699.0,122149370355621.0,37086.566,4.748,41973.746,1662878.375,14702.956,12325.908,7574.056,20956.146,163694.609,52571.34,9008.441,2819.104,1.124,1.558
2020,7887001289.0,118590021803593.0,35158.23,4.458,39674.77,1698036.625,14267.035,10932.342,7520.82,20032.188,157993.891,50601.266,8903.343,2852.967,1.142,1.581
2021,7954448387.0,126004793520756.0,36866.863,4.635,41523.965,1734903.5,14969.249,11513.166,7878.698,20874.295,166043.5,52639.844,9089.303,2895.432,1.16,1.605
2022,8021407196.0,130112562171125.0,37527.773,4.678,42313.164,1772431.25,15449.177,11914.912,7758.746,21076.293,169061.531,53515.586,9278.556,2881.229,1.179,1.629
2023,8091734933.0,,38094.039,4.708,42839.594,1810525.375,15636.373,12278.241,7802.845,21285.768,172238.781,54092.184,9416.93,2911.154,1.197,1.654
2024,8161972574.0,,38598.578,4.729,43184.086,1849123.875,15805.254,12470.596,8009.828,21653.723,176737.094,54433.398,9498.914,2935.779,1.216,1.678
