Year,zone,valeur
1964,S. Tropics,-0.15
1965,S. Tropics,0.02
1966,S. Tropics,-0.01
1967,S. Tropics,-0.17
1968,S. Tropics,-0.11
1969,S. Tropics,0.32
1970,S. Tropics,0.07
1971,S. Tropics,-0.22
1972,S. Tropics,0.27
1973,S. Tropics,0.3
1974,S. Tropics,-0.17
1975,S. Tropics,-0.17
1976,S. Tropics,-0.1
1977,S. Tropics,0.22
1978,S. Tropics,0.05
1979,S. Tropics,0.27
1980,S. Tropics,0.29
1981,S. Tropics,0.14
1982,S. Tropics,0.29
1983,S. Tropics,0.57
1984,S. Tropics,0.29
1985,S. Tropics,0.13
1986,S. Tropics,0.27
1987,S. Tropics,0.62
1988,S. Tropics,0.42
1989,S. Tropics,0.19
1990,S. Tropics,0.36
1991,S. Tropics,0.41
1992,S. Tropics,0.37
1993,S. Tropics,0.36
1994,S. Tropics,0.34
1995,S. Tropics,0.44
1996,S. Tropics,0.32
1997,S. Tropics,0.52
1998,S. Tropics,0.79
1999,S. Tropics,0.25
2000,S. Tropics,0.28
2001,S. Tropics,0.44
2002,S. Tropics,0.64
2003,S. Tropics,0.67
2004,S. Tropics,0.54
2005,S. Tropics,0.62
2006,S. Tropics,0.55
2007,S. Tropics,0.48
2008,S. Tropics,0.42
2009,S. Tropics,0.71
2010,S. Tropics,0.65
2011,S. Tropics,0.35
2012,S. Tropics,0.57
2013,S. Tropics,0.58
2014,S. Tropics,0.65
2015,S. Tropics,0.94
2016,S. Tropics,1.06
2017,S. Tropics,0.76
2018,S. Tropics,0.62
2019,S. Tropics,0.89
2020,S. Tropics,0.82
2021,S. Tropics,0.58
2022,S. Tropics,0.5
2023,S. Tropics,1.04
2024,S. Tropics,1.16
2025,S. Tropics,0.85
1880,S. Subtropics,-0.04
1881,S. Subtropics,-0.06
1882,S. Subtropics,0.01
1883,S. Subtropics,-0.04
1884,S. Subtropics,-0.19
1885,S. Subtropics,-0.33
1886,S. Subtropics,-0.2
1887,S. Subtropics,-0.27
1888,S. Subtropics,-0.31
1889,S. Subtropics,-0.15
1890,S. Subtropics,-0.17
1891,S. Subtropics,-0.18
1892,S. Subtropics,0.02
1893,S. Subtropics,0.07
1894,S. Subtropics,-0.14
1895,S. Subtropics,-0.19
1896,S. Subtropics,-0.15
1897,S. Subtropics,-0.19
1898,S. Subtropics,-0.27
1899,S. Subtropics,-0.15
1900,S. Subtropics,-0.28
1901,S. Subtropics,-0.27
1902,S. Subtropics,-0.28
1903,S. Subtropics,-0.35
1904,S. Subtropics,-0.37
1905,S. Subtropics,-0.33
1906,S. Subtropics,-0.2
1907,S. Subtropics,-0.21
1908,S. Subtropics,-0.29
1909,S. Subtropics,-0.37
