Year,zone,valeur
1900,Glob,-0.09
1901,Glob,-0.17
1902,Glob,-0.29
1903,Glob,-0.38
1904,Glob,-0.48
1905,Glob,-0.27
1906,Glob,-0.23
1907,Glob,-0.4
1908,Glob,-0.44
1909,Glob,-0.5
1910,Glob,-0.45
1911,Glob,-0.45
1912,Glob,-0.38
1913,Glob,-0.35
1914,Glob,-0.16
1915,Glob,-0.15
1916,Glob,-0.37
1917,Glob,-0.47
1918,Glob,-0.3
1919,Glob,-0.28
1920,Glob,-0.28
1921,Glob,-0.2
1922,Glob,-0.29
1923,Glob,-0.27
1924,Glob,-0.28
1925,Glob,-0.23
1926,Glob,-0.11
1927,Glob,-0.22
1928,Glob,-0.21
1929,Glob,-0.37
1930,Glob,-0.16
1931,Glob,-0.1
1932,Glob,-0.17
1933,Glob,-0.29
1934,Glob,-0.13
1935,Glob,-0.2
1936,Glob,-0.15
1937,Glob,-0.03
1938,Glob,0.0
1939,Glob,-0.02
1940,Glob,0.12
1941,Glob,0.18
1942,Glob,0.06
1943,Glob,0.08
1944,Glob,0.2
1945,Glob,0.09
1946,Glob,-0.07
1947,Glob,-0.03
1948,Glob,-0.11
1949,Glob,-0.11
1950,Glob,-0.18
1951,Glob,-0.07
1952,Glob,0.01
1953,Glob,0.08
1954,Glob,-0.13
1955,Glob,-0.14
1956,Glob,-0.19
1957,Glob,0.05
1958,Glob,0.06
1959,Glob,0.03
1960,Glob,-0.02
1961,Glob,0.06
1962,Glob,0.03
1963,Glob,0.05
1964,Glob,-0.2
1965,Glob,-0.11
1966,Glob,-0.06
1967,Glob,-0.02
1968,Glob,-0.08
1969,Glob,0.05
1970,Glob,0.03
1971,Glob,-0.08
1972,Glob,0.01
1973,Glob,0.16
1974,Glob,-0.07
1975,Glob,-0.01
1976,Glob,-0.1
1977,Glob,0.18
1978,Glob,0.07
1979,Glob,0.16
1980,Glob,0.26
1981,Glob,0.32
1982,Glob,0.14
1983,Glob,0.31
1984,Glob,0.16
1985,Glob,0.12
1986,Glob,0.18
1987,Glob,0.32
1988,Glob,0.39
1989,Glob,0.27
1990,Glob,0.45
1991,Glob,0.41
1992,Glob,0.22
1993,Glob,0.23
1994,Glob,0.32
1995,Glob,0.45
1996,Glob,0.33
1997,Glob,0.47
1998,Glob,0.61
1999,Glob,0.38
2000,Glob,0.39
2001,Glob,0.53
2002,Glob,0.63
2003,Glob,0.62
2004,Glob,0.53
2005,Glob,0.68
2006,Glob,0.64
2007,Glob,0.67
2008,Glob,0.54
2009,Glob,0.66
2010,Glob,0.73
2011,Glob,0.61
2012,Glob,0.65
2013,Glob,0.68
2014,Glob,0.75
2015,Glob,0.9
2016,Glob,1.01
2017,Glob,0.92
2018,Glob,0.85
2019,Glob,0.98
2020,Glob,1.01
2021,Glob,0.85
2022,Glob,0.9
2023,Glob,1.17
2024,Glob,1.28
2025,Glob,1.19
1880,NHem,-0.3
1881,NHem,-0.2
1882,NHem,-0.23
1883,NHem,-0.29
1884,NHem,-0.44
1885,NHem,-0.45
1886,NHem,-0.45
1887,NHem,-0.45
1888,NHem,-0.25
1889,NHem,-0.19
1890,NHem,-0.4
1891,NHem,-0.27
1892,NHem,-0.4
1893,NHem,-0.48
1894,NHem,-0.4
1895,NHem,-0.32
1896,NHem,-0.22
1897,NHem,-0.19
1898,NHem,-0.31
1899,NHem,-0.23
1900,NHem,-0.11
1901,NHem,-0.14
1902,NHem,-0.35
1903,NHem,-0.4
1904,NHem,-0.5
1905,NHem,-0.31
1906,NHem,-0.25
1907,NHem,-0.49
1908,NHem,-0.47
1909,NHem,-0.51
1910,NHem,-0.46
1911,NHem,-0.44
1912,NHem,-0.48
1913,NHem,-0.44
1914,NHem,-0.21
1915,NHem,-0.15
1916,NHem,-0.43
1917,NHem,-0.59
1918,NHem,-0.41
1919,NHem,-0.36
1920,NHem,-0.31
1921,NHem,-0.12
1922,NHem,-0.28
1923,NHem,-0.23
1924,NHem,-0.19
1925,NHem,-0.15
1926,NHem,0.01
1927,NHem,-0.14
1928,NHem,-0.11
1929,NHem,-0.34
1930,NHem,-0.02
1931,NHem,0.04
1932,NHem,-0.07
1933,NHem,-0.26
1934,NHem,-0.01
1935,NHem,-0.1
1936,NHem,-0.04
1937,NHem,0.11
1938,NHem,0.16
1939,NHem,0.08
1940,NHem,0.16
1941,NHem,0.22
1942,NHem,0.11
1943,NHem,0.17
1944,NHem,0.27
1945,NHem,0.11
1946,NHem,0.03
1947,NHem,0.08
1948,NHem,-0.02
1949,NHem,-0.03
1950,NHem,-0.15
1951,NHem,0.04
1952,NHem,0.06
1953,NHem,0.24
1954,NHem,-0.02
1955,NHem,-0.09
1956,NHem,-0.23
1957,NHem,0.04
1958,NHem,0.15
1959,NHem,0.13
1960,NHem,0.08
1961,NHem,0.09
1962,NHem,0.13
1963,NHem,0.14
1964,NHem,-0.19
1965,NHem,-0.14
1966,NHem,-0.02
1967,NHem,0.03
1968,NHem,-0.07
1969,NHem,-0.03
1970,NHem,-0.04
1971,NHem,-0.15
1972,NHem,-0.18
1973,NHem,0.09
1974,NHem,-0.18
1975,NHem,-0.05
1976,NHem,-0.21
1977,NHem,0.12
1978,NHem,0.02
1979,NHem,0.08
1980,NHem,0.17
1981,NHem,0.37
1982,NHem,0.05
1983,NHem,0.25
1984,NHem,0.04
1985,NHem,0.0
1986,NHem,0.13
1987,NHem,0.25
1988,NHem,0.37
1989,NHem,0.27
1990,NHem,0.53
1991,NHem,0.41
1992,NHem,0.14
1993,NHem,0.19
1994,NHem,0.37
1995,NHem,0.58
1996,NHem,0.26
1997,NHem,0.52
1998,NHem,0.71
1999,NHem,0.48
2000,NHem,0.5
2001,NHem,0.64
2002,NHem,0.71
2003,NHem,0.75
2004,NHem,0.66
2005,NHem,0.86
2006,NHem,0.82
2007,NHem,0.85
2008,NHem,0.68
2009,NHem,0.72
2010,NHem,0.9
2011,NHem,0.74
2012,NHem,0.8
2013,NHem,0.8
2014,NHem,0.92
2015,NHem,1.18
2016,NHem,1.31
2017,NHem,1.17
2018,NHem,1.04
2019,NHem,1.22
2020,NHem,1.34
2021,NHem,1.14
2022,NHem,1.16
2023,NHem,1.5
2024,NHem,1.65
2025,NHem,1.49
1880,SHem,-0.05
1881,SHem,0.0
1882,SHem,-0.01
1883,SHem,-0.07
1884,SHem,-0.15
1885,SHem,-0.24
1886,SHem,-0.2
1887,SHem,-0.29
1888,SHem,-0.11
1889,SHem,-0.04
1890,SHem,-0.32
1891,SHem,-0.19
1892,SHem,-0.15
1893,SHem,-0.15
1894,SHem,-0.22
1895,SHem,-0.15
1896,SHem,-0.03
1897,SHem,-0.05
1898,SHem,-0.26
1899,SHem,-0.14
1900,SHem,-0.07
1901,SHem,-0.19
1902,SHem,-0.23
1903,SHem,-0.37
1904,SHem,-0.46
1905,SHem,-0.23
1906,SHem,-0.21
1907,SHem,-0.31
1908,SHem,-0.41
1909,SHem,-0.48
1910,SHem,-0.44
1911,SHem,-0.47
1912,SHem,-0.26
1913,SHem,-0.27
1914,SHem,-0.11
1915,SHem,-0.14
1916,SHem,-0.31
1917,SHem,-0.36
1918,SHem,-0.21
1919,SHem,-0.21
1920,SHem,-0.24
1921,SHem,-0.27
1922,SHem,-0.3
1923,SHem,-0.31
1924,SHem,-0.36
1925,SHem,-0.3
1926,SHem,-0.22
1927,SHem,-0.3
1928,SHem,-0.29
1929,SHem,-0.38
1930,SHem,-0.29
1931,SHem,-0.22
1932,SHem,-0.26
1933,SHem,-0.32
1934,SHem,-0.25
1935,SHem,-0.3
1936,SHem,-0.26
1937,SHem,-0.18
1938,SHem,-0.18
1939,SHem,-0.13
1940,SHem,0.09
1941,SHem,0.16
1942,SHem,0.01
1943,SHem,-0.01
1944,SHem,0.14
1945,SHem,0.09
1946,SHem,-0.17
1947,SHem,-0.13
1948,SHem,-0.2
1949,SHem,-0.19
1950,SHem,-0.21
1951,SHem,-0.18
1952,SHem,-0.03
1953,SHem,-0.07
1954,SHem,-0.25
1955,SHem,-0.2
1956,SHem,-0.16
1957,SHem,0.06
1958,SHem,-0.03
1959,SHem,-0.06
1960,SHem,-0.13
1961,SHem,0.03
1962,SHem,-0.06
1963,SHem,-0.03
1964,SHem,-0.2
1965,SHem,-0.07
1966,SHem,-0.09
1967,SHem,-0.08
1968,SHem,-0.09
1969,SHem,0.14
1970,SHem,0.09
1971,SHem,-0.01
1972,SHem,0.2
1973,SHem,0.23
1974,SHem,0.03
1975,SHem,0.02
1976,SHem,0.01
1977,SHem,0.24
1978,SHem,0.11
1979,SHem,0.25
1980,SHem,0.34
1981,SHem,0.27
1982,SHem,0.23
1983,SHem,0.38
1984,SHem,0.27
1985,SHem,0.24
1986,SHem,0.23
1987,SHem,0.4
1988,SHem,0.41
1989,SHem,0.28
1990,SHem,0.37
1991,SHem,0.4
1992,SHem,0.31
1993,SHem,0.28
1994,SHem,0.26
1995,SHem,0.32
1996,SHem,0.4
1997,SHem,0.42
1998,SHem,0.51
1999,SHem,0.28
2000,SHem,0.29
2001,SHem,0.43
2002,SHem,0.55
2003,SHem,0.49
2004,SHem,0.41
2005,SHem,0.5
2006,SHem,0.46
2007,SHem,0.48
2008,SHem,0.41
2009,SHem,0.59
2010,SHem,0.55
2011,SHem,0.47
2012,SHem,0.49
2013,SHem,0.56
2014,SHem,0.58
2015,SHem,0.63
2016,SHem,0.73
2017,SHem,0.67
2018,SHem,0.66
2019,SHem,0.75
2020,SHem,0.67
2021,SHem,0.55
2022,SHem,0.62
2023,SHem,0.86
2024,SHem,0.91
2025,SHem,0.89
1880,N. Extratropics,-0.4
1881,N. Extratropics,-0.37
1882,N. Extratropics,-0.33
1883,N. Extratropics,-0.36
1884,N. Extratropics,-0.62
1885,N. Extratropics,-0.67
1886,N. Extratropics,-0.58
1887,N. Extratropics,-0.53
1888,N. Extratropics,-0.43
1889,N. Extratropics,-0.3
1890,N. Extratropics,-0.47
1891,N. Extratropics,-0.42
1892,N. Extratropics,-0.43
1893,N. Extratropics,-0.5
1894,N. Extratropics,-0.33
1895,N. Extratropics,-0.41
1896,N. Extratropics,-0.36
1897,N. Extratropics,-0.37
1898,N. Extratropics,-0.37
1899,N. Extratropics,-0.25
1900,N. Extratropics,-0.22
1901,N. Extratropics,-0.18
1902,N. Extratropics,-0.55
1903,N. Extratropics,-0.48
1904,N. Extratropics,-0.53
1905,N. Extratropics,-0.42
1906,N. Extratropics,-0.27
1907,N. Extratropics,-0.6
1908,N. Extratropics,-0.49
1909,N. Extratropics,-0.54
1910,N. Extratropics,-0.43
1911,N. Extratropics,-0.43
1912,N. Extratropics,-0.6
1913,N. Extratropics,-0.45
1914,N. Extratropics,-0.25
1915,N. Extratropics,-0.24
1916,N. Extratropics,-0.38
1917,N. Extratropics,-0.51
1918,N. Extratropics,-0.42
1919,N. Extratropics,-0.44
1920,N. Extratropics,-0.26
1921,N. Extratropics,0.0
1922,N. Extratropics,-0.25
1923,N. Extratropics,-0.16
1924,N. Extratropics,-0.13
1925,N. Extratropics,-0.04
1926,N. Extratropics,0.02
1927,N. Extratropics,-0.13
1928,N. Extratropics,-0.08
1929,N. Extratropics,-0.38
1930,N. Extratropics,0.04
1931,N. Extratropics,0.01
1932,N. Extratropics,0.03
1933,N. Extratropics,-0.24
1934,N. Extratropics,0.17
1935,N. Extratropics,-0.05
1936,N. Extratropics,-0.03
1937,N. Extratropics,0.19
1938,N. Extratropics,0.39
1939,N. Extratropics,0.22
1940,N. Extratropics,0.1
1941,N. Extratropics,0.01
1942,N. Extratropics,0.12
1943,N. Extratropics,0.37
1944,N. Extratropics,0.38
1945,N. Extratropics,0.11
1946,N. Extratropics,0.06
1947,N. Extratropics,0.16
1948,N. Extratropics,0.13
1949,N. Extratropics,0.11
1950,N. Extratropics,-0.05
1951,N. Extratropics,0.08
1952,N. Extratropics,0.11
1953,N. Extratropics,0.36
1954,N. Extratropics,0.07
1955,N. Extratropics,0.05
1956,N. Extratropics,-0.2
1957,N. Extratropics,0.03
1958,N. Extratropics,0.08
1959,N. Extratropics,0.16
1960,N. Extratropics,0.09
1961,N. Extratropics,0.19
1962,N. Extratropics,0.24
1963,N. Extratropics,0.14
1964,N. Extratropics,-0.23
1965,N. Extratropics,-0.19
1966,N. Extratropics,-0.14
1967,N. Extratropics,0.12
1968,N. Extratropics,-0.11
1969,N. Extratropics,-0.29
1970,N. Extratropics,-0.11
1971,N. Extratropics,-0.06
1972,N. Extratropics,-0.34
1973,N. Extratropics,0.1
1974,N. Extratropics,-0.14
1975,N. Extratropics,0.12
1976,N. Extratropics,-0.26
1977,N. Extratropics,0.13
1978,N. Extratropics,-0.03
1979,N. Extratropics,-0.03
1980,N. Extratropics,0.06
1981,N. Extratropics,0.48
1982,N. Extratropics,-0.08
1983,N. Extratropics,0.22
1984,N. Extratropics,0.01
1985,N. Extratropics,-0.03
1986,N. Extratropics,0.1
1987,N. Extratropics,0.04
1988,N. Extratropics,0.4
1989,N. Extratropics,0.4
1990,N. Extratropics,0.63
1991,N. Extratropics,0.47
1992,N. Extratropics,0.09
1993,N. Extratropics,0.13
1994,N. Extratropics,0.43
1995,N. Extratropics,0.7
1996,N. Extratropics,0.23
1997,N. Extratropics,0.53
1998,N. Extratropics,0.78
1999,N. Extratropics,0.7
2000,N. Extratropics,0.7
2001,N. Extratropics,0.8
2002,N. Extratropics,0.83
2003,N. Extratropics,0.84
2004,N. Extratropics,0.73
2005,N. Extratropics,1.01
2006,N. Extratropics,0.99
2007,N. Extratropics,1.12
2008,N. Extratropics,0.91
2009,N. Extratropics,0.78
2010,N. Extratropics,1.03
2011,N. Extratropics,0.98
2012,N. Extratropics,1.03
2013,N. Extratropics,0.94
2014,N. Extratropics,1.08
2015,N. Extratropics,1.32
2016,N. Extratropics,1.54
2017,N. Extratropics,1.38
2018,N. Extratropics,1.25
2019,N. Extratropics,1.43
2020,N. Extratropics,1.66
2021,N. Extratropics,1.43
2022,N. Extratropics,1.52
2023,N. Extratropics,1.78
2024,N. Extratropics,1.95
2025,N. Extratropics,1.92
1880,Tropics,-0.14
1881,Tropics,0.09
1882,Tropics,-0.06
1883,Tropics,-0.17
1884,Tropics,-0.15
1885,Tropics,-0.14
1886,Tropics,-0.21
1887,Tropics,-0.32
1888,Tropics,0.08
1889,Tropics,0.06
1890,Tropics,-0.38
1891,Tropics,-0.09
1892,Tropics,-0.31
1893,Tropics,-0.38
1894,Tropics,-0.36
1895,Tropics,-0.09
1896,Tropics,0.07
1897,Tropics,0.14
1898,Tropics,-0.24
1899,Tropics,-0.14
1900,Tropics,0.15
1901,Tropics,-0.06
1902,Tropics,-0.06
1903,Tropics,-0.31
1904,Tropics,-0.48
1905,Tropics,-0.1
1906,Tropics,-0.21
1907,Tropics,-0.32
1908,Tropics,-0.46
1909,Tropics,-0.5
1910,Tropics,-0.51
1911,Tropics,-0.45
1912,Tropics,-0.22
1913,Tropics,-0.29
1914,Tropics,-0.08
1915,Tropics,-0.02
1916,Tropics,-0.46
1917,Tropics,-0.65
1918,Tropics,-0.35
1919,Tropics,-0.21
1920,Tropics,-0.27
1921,Tropics,-0.27
1922,Tropics,-0.33
1923,Tropics,-0.31
1924,Tropics,-0.27
1925,Tropics,-0.25
1926,Tropics,0.0
1927,Tropics,-0.17
1928,Tropics,-0.16
1929,Tropics,-0.29
1930,Tropics,-0.12
1931,Tropics,0.07
1932,Tropics,-0.17
1933,Tropics,-0.29
1934,Tropics,-0.26
1935,Tropics,-0.19
1936,Tropics,-0.14
1937,Tropics,-0.06
1938,Tropics,-0.23
1939,Tropics,-0.13
1940,Tropics,0.27
1941,Tropics,0.48
1942,Tropics,0.07
1943,Tropics,-0.1
1944,Tropics,0.18
1945,Tropics,0.17
1946,Tropics,-0.05
1947,Tropics,-0.06
1948,Tropics,-0.18
1949,Tropics,-0.19
1950,Tropics,-0.29
1951,Tropics,-0.06
1952,Tropics,0.02
1953,Tropics,0.07
1954,Tropics,-0.22
1955,Tropics,-0.34
1956,Tropics,-0.33
1957,Tropics,0.08
1958,Tropics,0.21
1959,Tropics,0.07
1960,Tropics,0.02
1961,Tropics,-0.03
1962,Tropics,-0.05
1963,Tropics,0.12
1964,Tropics,-0.14
1965,Tropics,-0.03
1966,Tropics,0.08
1967,Tropics,-0.14
1968,Tropics,-0.07
1969,Tropics,0.33
1970,Tropics,0.07
1971,Tropics,-0.26
1972,Tropics,0.17
1973,Tropics,0.19
1974,Tropics,-0.2
1975,Tropics,-0.24
1976,Tropics,-0.11
1977,Tropics,0.16
1978,Tropics,0.08
1979,Tropics,0.26
1980,Tropics,0.31
1981,Tropics,0.18
1982,Tropics,0.27
1983,Tropics,0.43
1984,Tropics,0.18
1985,Tropics,0.09
1986,Tropics,0.22
1987,Tropics,0.58
1988,Tropics,0.37
1989,Tropics,0.13
1990,Tropics,0.37
1991,Tropics,0.37
1992,Tropics,0.29
1993,Tropics,0.32
1994,Tropics,0.31
1995,Tropics,0.42
1996,Tropics,0.32
1997,Tropics,0.51
1998,Tropics,0.69
1999,Tropics,0.2
2000,Tropics,0.24
2001,Tropics,0.42
2002,Tropics,0.6
2003,Tropics,0.64
2004,Tropics,0.55
2005,Tropics,0.62
2006,Tropics,0.56
2007,Tropics,0.46
2008,Tropics,0.38
2009,Tropics,0.68
2010,Tropics,0.68
2011,Tropics,0.37
2012,Tropics,0.52
2013,Tropics,0.58
2014,Tropics,0.67
2015,Tropics,0.96
2016,Tropics,1.01
2017,Tropics,0.81
2018,Tropics,0.68
2019,Tropics,0.9
2020,Tropics,0.85
2021,Tropics,0.65
2022,Tropics,0.57
2023,Tropics,1.06
2024,Tropics,1.19
2025,Tropics,0.85
1880,S. Extratropics,-0.02
1881,S. Extratropics,-0.07
1882,S. Extratropics,0.01
1883,S. Extratropics,-0.01
1884,S. Extratropics,-0.14
1885,S. Extratropics,-0.27
1886,S. Extratropics,-0.21
1887,S. Extratropics,-0.28
1888,S. Extratropics,-0.28
1889,S. Extratropics,-0.16
1890,S. Extratropics,-0.22
1891,S. Extratropics,-0.21
1892,S. Extratropics,-0.08
1893,S. Extratropics,-0.04
1894,S. Extratropics,-0.23
1895,S. Extratropics,-0.25
1896,S. Extratropics,-0.15
1897,S. Extratropics,-0.23
1898,S. Extratropics,-0.26
1899,S. Extratropics,-0.18
1900,S. Extratropics,-0.3
1901,S. Extratropics,-0.3
1902,S. Extratropics,-0.35
1903,S. Extratropics,-0.38
1904,S. Extratropics,-0.44
1905,S. Extratropics,-0.36
1906,S. Extratropics,-0.23
1907,S. Extratropics,-0.29
1908,S. Extratropics,-0.36
1909,S. Extratropics,-0.44
1910,S. Extratropics,-0.38
1911,S. Extratropics,-0.48
1912,S. Extratropics,-0.37
1913,S. Extratropics,-0.35
1914,S. Extratropics,-0.18
1915,S. Extratropics,-0.22
1916,S. Extratropics,-0.23
1917,S. Extratropics,-0.19
1918,S. Extratropics,-0.14
1919,S. Extratropics,-0.22
1920,S. Extratropics,-0.32
1921,S. Extratropics,-0.31
1922,S. Extratropics,-0.27
1923,S. Extratropics,-0.34
1924,S. Extratropics,-0.43
1925,S. Extratropics,-0.38
1926,S. Extratropics,-0.4
1927,S. Extratropics,-0.38
1928,S. Extratropics,-0.39
1929,S. Extratropics,-0.45
1930,S. Extratropics,-0.42
1931,S. Extratropics,-0.43
1932,S. Extratropics,-0.35
1933,S. Extratropics,-0.34
1934,S. Extratropics,-0.26
1935,S. Extratropics,-0.37
1936,S. Extratropics,-0.3
1937,S. Extratropics,-0.22
1938,S. Extratropics,-0.1
1939,S. Extratropics,-0.12
1940,S. Extratropics,-0.07
1941,S. Extratropics,-0.05
1942,S. Extratropics,-0.01
1943,S. Extratropics,0.04
1944,S. Extratropics,0.05
1945,S. Extratropics,-0.03
1946,S. Extratropics,-0.24
1947,S. Extratropics,-0.16
1948,S. Extratropics,-0.24
1949,S. Extratropics,-0.23
1950,S. Extratropics,-0.14
1951,S. Extratropics,-0.23
1952,S. Extratropics,-0.09
1953,S. Extratropics,-0.18
1954,S. Extratropics,-0.22
1955,S. Extratropics,-0.06
1956,S. Extratropics,0.01
1957,S. Extratropics,0.02
1958,S. Extratropics,-0.15
1959,S. Extratropics,-0.16
1960,S. Extratropics,-0.2
1961,S. Extratropics,0.05
1962,S. Extratropics,-0.07
1963,S. Extratropics,-0.12
1964,S. Extratropics,-0.24
1965,S. Extratropics,-0.13
1966,S. Extratropics,-0.15
1967,S. Extratropics,-0.01
1968,S. Extratropics,-0.08
1969,S. Extratropics,0.02
1970,S. Extratropics,0.11
1971,S. Extratropics,0.13
1972,S. Extratropics,0.15
1973,S. Extratropics,0.18
1974,S. Extratropics,0.18
1975,S. Extratropics,0.16
1976,S. Extratropics,0.09
1977,S. Extratropics,0.25
1978,S. Extratropics,0.15
1979,S. Extratropics,0.23
1980,S. Extratropics,0.38
1981,S. Extratropics,0.36
1982,S. Extratropics,0.18
1983,S. Extratropics,0.25
1984,S. Extratropics,0.26
1985,S. Extratropics,0.31
1986,S. Extratropics,0.2
1987,S. Extratropics,0.25
1988,S. Extratropics,0.4
1989,S. Extratropics,0.34
1990,S. Extratropics,0.37
1991,S. Extratropics,0.4
1992,S. Extratropics,0.27
1993,S. Extratropics,0.22
1994,S. Extratropics,0.21
1995,S. Extratropics,0.22
1996,S. Extratropics,0.45
1997,S. Extratropics,0.34
1998,S. Extratropics,0.32
1999,S. Extratropics,0.3
2000,S. Extratropics,0.29
2001,S. Extratropics,0.42
2002,S. Extratropics,0.48
2003,S. Extratropics,0.36
2004,S. Extratropics,0.32
2005,S. Extratropics,0.42
2006,S. Extratropics,0.4
2007,S. Extratropics,0.48
2008,S. Extratropics,0.4
2009,S. Extratropics,0.51
2010,S. Extratropics,0.48
2011,S. Extratropics,0.56
2012,S. Extratropics,0.43
2013,S. Extratropics,0.54
2014,S. Extratropics,0.53
2015,S. Extratropics,0.4
2016,S. Extratropics,0.49
2017,S. Extratropics,0.6
2018,S. Extratropics,0.69
2019,S. Extratropics,0.64
2020,S. Extratropics,0.57
2021,S. Extratropics,0.53
2022,S. Extratropics,0.71
2023,S. Extratropics,0.72
2024,S. Extratropics,0.74
2025,S. Extratropics,0.92
